phenotype name,Synonyms,hpo_id,database_cross_reference
Long phalanx of finger,Long finger bone,HP:0006155,UMLS:C4025087
Breech presentation,Breech presentation at birth|Feet or buttocks of fetus positioned near opening of uterus|Feet or buttocks of foetus positioned near opening of uterus,HP:0001623,MSH:D001946|UMLS:C0006157|SNOMEDCT_US:6096002|SNOMEDCT_US:249101006
Absent sternal ossification,Absent sternal mineralization|Lack of sternal ossification|Absent bone maturation in sternum,HP:0006628,UMLS:C1857074|UMLS:C4280443
Unilateral renal dysplasia,,HP:0008718,SNOMEDCT_US:204951002|UMLS:C0431697
Retinal pigment epithelial mottling,RPE irregularity|Salt and pepper retinopathy|Salt and pepper retinal pigmentation|RPE mottling|Retinal pigment epithelium irregularity|Focal hypopigmentation of the retinal pigment epithelium,HP:0007814,UMLS:C1857644
Abnormal muscle glycogen content,,HP:0012269,UMLS:C4022980
Late-onset muscular dystrophy,,HP:0007081,UMLS:C4024942
Increased urinary O-linked sialopeptides,,HP:0003461,UMLS:C1836533
Elevated brain choline level by MRS,,HP:0012706,UMLS:C4022763
Oral ulcer,Mouth sore|Mouth ulcer|Oral mucosal ulceration,HP:0000155,UMLS:C0149745|SNOMEDCT_US:26284000|MSH:D019226
Diffuse mesangial sclerosis,Mesangial sclerosis|Diffuse mesangial sclerosis glomerulopathy,HP:0001967,UMLS:C0268747|SNOMEDCT_US:111406002|MSH:C537346
Low maternal serum alpha-fetoprotein,Low maternal serum alpha-fetoprotein,HP:0010570,UMLS:C4023787
Symphalangism affecting the middle phalanx of the 5th toe,Fused middle bones of 5th toe,HP:0100472,UMLS:C4022055
Shortening of all phalanges of the toes,Short toe bones,HP:0005035,UMLS:C4025257
Retropharyngeal hemangioma,,HP:0410273,NCIT:C3085
Abnormality of the brainstem white matter,,HP:0012501,UMLS:C4022876
Abnormal timing of light-adapted flicker electroretinogram,,HP:0030480,UMLS:C4072970
Sclerotic humeral metaphysis,Stiffening of wide portion of long bone of upper arm|Hardening of wide portion of long bone of upper arm,HP:0003918,UMLS:C4025509
Talipes equinovarus,"Pes equinovarus|Talipes varus|Clubbing of feet|Clubfoot|Equinovarus|Club foot|Club feet|Pes equinus|Clubfeet|Foot, talipes equinovarus",HP:0001762,SNOMEDCT_US:249808002|UMLS:C0009081|MSH:D003025|MEDDRA:10043106|SNOMEDCT_US:397932003|Fyler:4171
Confetti hypopigmentation pattern of lower leg skin,Confetti hypopigmentation pattern of lower leg skin,HP:0007554,UMLS:C4024847
Short proximal phalanx of hallux,Hypoplastic proximal phalanx of the hallux|Short innermost big toe bone|Short proximal phalanx of halluces|Small proximal phalanx of big toe|Small proximal phalanx of hallux|Short proximal phalanges of halluces,HP:0010107,UMLS:C1862159
Pleural empyema,Pyothorax,HP:0011919,SNOMEDCT_US:58554001|SNOMEDCT_US:405951008|SNOMEDCT_US:405950009|MSH:D016724|UMLS:C0014013
Abnormality of venous physiology,,HP:0030846,UMLS:C4280744
Abnormal size of the clitoris,,HP:0040252,UMLS:C4280696
Exercise-induced myoglobinuria,Exercise-induced myoglobinuria in adults,HP:0008305,UMLS:C1860069|UMLS:C1845155
Neoplasm of the anterior pituitary,Neoplasm of the pars anterior|Neoplasm of the adenohypophysis,HP:0011750,UMLS:C4023205|NCIT:C3262
Abnormality of the lunate bone,,HP:0004248,UMLS:C4025393
Cervical spondylosis,Neck arthritis|Cervical oestoarthritis,HP:0008480,SNOMEDCT_US:387800004|SNOMEDCT_US:387801000|UMLS:C0263854|MSH:D055009|UMLS:C1384641
Single trichilemmoma,,HP:0012845,UMLS:C4022710
Hypsarrhythmia,Hypsarrhythmia by EEG,HP:0002521,UMLS:C0684276|MSH:D013036|SNOMEDCT_US:28055006
Asymmetry of the maxilla,Asymmetry of the upper jaw|Asymmetry of upper jaw|Crooked upper jaw|Canted upper jaw|Asymmetry of right and left side of the maxilla|Uneven upper jaw|Crooked maxilla|Uneven maxilla|Tilted upper jaw|Unequal sides of maxilla|Tilted maxilla|Canted maxilla|Deviation of the upper jaw|Deviation of the maxilla,HP:0010755,UMLS:C0399519|SNOMEDCT_US:235083001
Intermittent claudication,,HP:0004417,UMLS:C0021775|MSH:D007383|SNOMEDCT_US:63491006
Single fiber EMG abnormality,Single fibre EMG abnormality,HP:0030006,UMLS:C4022679
Abnormality of fibrinolysis,Abnormality of the fibrinolytic system,HP:0040224,UMLS:C4280719
Deviation of the 2nd toe,Displacement of the 2nd toe,HP:0010326,UMLS:C4021297
Thin metacarpal cortices,,HP:0006086,UMLS:C1850160
Thiamine-responsive megaloblastic anemia,Thiamine-responsive megaloblastic anaemia,HP:0004860,SNOMEDCT_US:12907000|UMLS:C0271972
Fragmentation of the epiphysis of the proximal phalanx of the 5th toe,Fragmentation of the end part of the innermost bone of the little toe|Fragmentation of the end part of the innermost bone of the pinky toe|Fragmentation of the end part of the innermost bone of the pinkie toe,HP:0100228,UMLS:C4022193
Opacification of the corneal stroma,Cloudy cornea|Corneal stromal opacity|Cloudy corneas,HP:0007759,UMLS:C1856661|UMLS:C0423250|SNOMEDCT_US:246957002
Irregular epiphysis of the distal phalanx of the thumb,Irregular end part of thumb outermost bone,HP:0009680,UMLS:C4024239
Supernumerary tooth,"Increased number of teeth|Supplemental dentition|Extra teeth|Supernumerary teeth|Supplemental teeth|Increased tooth count|Hyperdontia|Tooth, supernumerary|Supernumary teeth|Supernumary dentition|More teeth than normal",HP:0011069,SNOMEDCT_US:367534004|MSH:D014096|SNOMEDCT_US:8666004|UMLS:C0040457|SNOMEDCT_US:266414008
Intramuscular hematoma,Intramuscular haematoma|Intramuscular hemorrhage|Intramuscular haemorrhage|IM hematoma|Intramuscular hematomas,HP:0012233,UMLS:C0240412|SNOMEDCT_US:262969000
Recurrent hand flapping,,HP:0100023,UMLS:C4022387
Abnormal rapid eye movement sleep,Abnormal REM sleep,HP:0002494,UMLS:C0392188|SNOMEDCT_US:69020003
Elevated CSF amyloid level,,HP:0030862,UMLS:C4280738
Choroidal neovascularization,,HP:0011506,UMLS:C4023323
Osteoid osteoma,,HP:0030433,MSH:D010017|SNOMEDCT_US:302859004|UMLS:C0029441|SNOMEDCT_US:71666005
Sensorimotor neuropathy,Nerve damage causing decreased feeling and movement|Sensorimotor peripheral neuropathy|Mixed polyneuropathy,HP:0007141,UMLS:C1112256
Hypochromic anemia,Hypochromic anaemia,HP:0001931,MSH:D000747|UMLS:C0002884|SNOMEDCT_US:44452003
Coombs-positive hemolytic anemia,Direct Coombs positive|Coombs-positive hemolytic anaemia,HP:0004844,UMLS:C0520736|SNOMEDCT_US:74789008
Osteomyelitis,Bone infection,HP:0002754,SNOMEDCT_US:111253001|UMLS:C2242472|MSH:D010019|SNOMEDCT_US:60168000|UMLS:C0029443
Broad metacarpal epiphyses,Broad end part of long bone of hand,HP:0006146,UMLS:C4025088
Lower limb hypertonia,,HP:0006895,UMLS:C1845245
Chronic fatigue,Chronic extreme exhaustion|Chronic fatigue,HP:0012432,UMLS:C0518656
Irregular radial epiphyses,,HP:0004004,UMLS:C4025453
Subarterial ventricular septal defect,Conal ventricular septal defect|Infundibular ventricular septal defect|Type 1 ventricular septal defect|Supracristal ventricular septal defect|Doubly committed ventricular septal defect,HP:0011681,SNOMEDCT_US:448876006|Fyler:1330|UMLS:C3165130
Hypoplasia of the bladder,Underdeveloped bladder|Hypoplastic bladder,HP:0005343,UMLS:C1855335
Deja vu aura,Deja vu,HP:0012005,MSH:D003690|UMLS:C0011194|SNOMEDCT_US:313005
Abnormality of skeletal morphology,Abnormally shaped skeletal,HP:0011842,UMLS:C4023165
Triangular shaped middle phalanx of the 3rd finger,Triangular shaped middle bone of the middle finger,HP:0009436,UMLS:C4024362
Abnormal trabecular bone morphology,Abnormal shape of spongy bone|Abnormality of bone trabeculation,HP:0100671,UMLS:C4020957
Hyperglutaminemia,High plasma glutamine,HP:0003217,UMLS:C1839533
Increased OCT-measured foveal thickness,,HP:0030618,UMLS:C4073088
Cholelithiasis,Gallstones,HP:0001081,SNOMEDCT_US:266474003|MSH:D002769|UMLS:C0008350
Uplifted earlobe,"Fleshy upturned lobules|Uplifted earlobe|Upturned earlobe|Lobe, uplifted|Upturned earlobes|Uplifted earlobes",HP:0009909,UMLS:C1856117
Pituitary adenoma,Noncancerous tumor in pituitary gland|Noncancerous tumour in pituitary gland,HP:0002893,UMLS:C0032000|SNOMEDCT_US:128664001|MSH:D010911|SNOMEDCT_US:254956000|ICD-O:M8272/0|NCIT:C2855
Prominent inferior crus of antihelix,"Antihelix, inferior crus, prominent|Hyperplastic inferior crus of antihelix|Hypertrophic inferior crus of antihelix",HP:0011238,UMLS:C4021195
Congenital neuroblastoma,,HP:0006742,UMLS:C4024986
EEG with spike-wave complexes (<2.5 Hz),,HP:0010847,UMLS:C4023686
Aplasia/Hypoplasia of the eyebrow,Agenesis of eyebrow|Hypotrophic eyebrow|Lack of eyebrow|Absence of eyebrow|Missing eyebrow|Sparse to absent eyebrows|Sparse/absent eyebrows|Sparse or absent eyebrows,HP:0100840,UMLS:C1848765|UMLS:C4021956|UMLS:C2266639|UMLS:C3551430
Subcapsular cataract,Subcapsular lenticular cataracts|Subcapsular cataracts|Subcapsular opacities,HP:0000523,SNOMEDCT_US:95723009|UMLS:C0235259
Megakaryocytopenia,,HP:0005548,UMLS:C1858312
Triangular shaped 1st metatarsal,Triangular shaped 1st long bone of foot,HP:0010074,UMLS:C4024070
Solitary median maxillary central incisor,Single median maxillary incisor|Single central incisor|Single midline maxillary incisor|Only one upper front tooth|Single maxillary central incisor|Single central upper incisor|Single median maxillary central incisor|Solitary median maxillary central incisor|Solitary midline maxillary central incisor|Single midline upper front tooth|Single median incisor|Solitary median maxillary central incisor syndrome,HP:0006315,MSH:C537342|SNOMEDCT_US:707609006|UMLS:C1840235
Prominent superficial blood vessels,Prominent superficial blood vessels|Prominent superficial vasculature,HP:0007394,UMLS:C1848771
Bullet-shaped proximal phalanx of the 5th finger,Bullet-shaped innermost pinkie finger bone|Bullet-shaped innermost little finger bone|Bullet-shaped innermost pinky finger bone,HP:0009228,UMLS:C4024516
Asymmetry of the shape of the ears,Asymmetry of the shape of the ears,HP:0040092,UMLS:C4022445
Bladder carcinoma,,HP:0002862,UMLS:C0699885|NCIT:C2916|SNOMEDCT_US:255108000
Hypochloriduria,Low urine chloride levels|Decreased urinary chloride,HP:0012601,UMLS:C4021078
Hypoplastic anemia,Hypoplastic anaemia,HP:0001908,SNOMEDCT_US:167923006|SNOMEDCT_US:41614006|UMLS:C0178416|MSH:D000741
Enhanced neurotoxicity of vincristine,,HP:0003009,UMLS:C4025661
Long toe,Long toes|Increased length of toes|Long toe,HP:0010511,UMLS:C3150613
Complete duplication of the phalanges of the 2nd finger,Complete duplication of the bones of the index finger,HP:0009957,UMLS:C4024145
Bowed humerus,Bowed long bone in upper arm|Bowing of the humerus|Humeral bowing,HP:0003865,UMLS:C1859460
Internal ophthalmoplegia,,HP:0007942,MSH:D009886|UMLS:C0339693|SNOMEDCT_US:232146005
Hemianopia,Hemianopsia,HP:0012377,UMLS:C0018979|SNOMEDCT_US:77674003|MSH:D006423
Abnormal mandible coronoid process morphology,Abnormality of mandible coronoid process,HP:3000078,UMLS:C4073285
Shortening of all middle phalanges of the fingers,,HP:0006110,UMLS:C1856912
Corneal scarring,,HP:0000559,UMLS:C0349702|SNOMEDCT_US:95726001|MSH:D065306
Infra-orbital crease,Infraorbital creases|Crease in skin under the eye|Underorbital skin creases|Groove in skin under the eye|Infraorbital crease,HP:0100876,UMLS:C1857280
Restrictive cardiomyopathy,,HP:0001723,SNOMEDCT_US:415295002|UMLS:C0007196|SNOMEDCT_US:90828009|MSH:D002313
Renal tubular lysine transport defect,,HP:0008272,UMLS:C4024714
First dorsal interossei muscle weakness,,HP:0003392,UMLS:C1832277
Abnormality of the nares,Abnormality of the nostrils|Anomaly of the nares|Deformity of the nostrils|Malformation of the nostrils|Deformity of the nares|Malformation of the nares,HP:0005288,UMLS:C4021637
Renal calcium wasting,Kidney Ca2+ wasting|Renal Ca wasting|Renal Ca2+ wasting|Kidney calcium wasting|Kidney Ca wasting,HP:0012637,UMLS:C2673441
Submucous cleft soft palate,Partial thickness cleft soft palate|Submucous cleft velum,HP:0011819,UMLS:C4023175
Intraventricular hemorrhage,Intraventricular haemorrhage,HP:0030746,UMLS:C0240059|SNOMEDCT_US:23276006
Herniation of intervertebral nuclei,Herniated disk|Herniated disc|Herniated intervertebral nuclei,HP:0008441,UMLS:C0021818|UMLS:C1832597|SNOMEDCT_US:73589001|MSH:D007405
Abnormal T-wave,T-wave abnormalities|EKG: T-wave abnormalities,HP:0005135,UMLS:C4025245
Albinism,Achromasia|Albinism,HP:0001022,SNOMEDCT_US:18064000|MSH:D000417|UMLS:C0333913|UMLS:C0001916|SNOMEDCT_US:15890002
Tooth agenesis,"Tooth agenesis|Reduced number of teeth|Failure of development of some teeth|Teeth, agenesis|Dental agenesis|Decreased tooth count|Decreased number of teeth|Fewer teeth than normal|Missing some teeth",HP:0009804,UMLS:C4083050|UMLS:C4024202
Self-biting,,HP:0012169,UMLS:C0424375|SNOMEDCT_US:248072009
Mild expressive language delay,,HP:0011346,UMLS:C3532934|SNOMEDCT_US:62231000119108
Pancreatic hypoplasia,Underdeveloped pancreas|Hypoplastic pancreas,HP:0002594,SNOMEDCT_US:68591005|UMLS:C0266267
Increased adipose tissue around the neck,Increased fat around the neck,HP:0000468,UMLS:C4025850
Aortic valve atresia,Aortic atresia,HP:0010883,SNOMEDCT_US:51442005|UMLS:C0265843
Insomnia,Difficulty staying or falling asleep|Fragmented sleep,HP:0100785,MSH:D007319|UMLS:C0917801|SNOMEDCT_US:193462001
Reduced visual accommodation,,HP:0030801,UMLS:C4280759
Dysmetria,Lack of coordination of movement|Abnormal finger chase test|Abnormal finger-nose-finger test,HP:0001310,MSH:D002524|UMLS:C0234162|SNOMEDCT_US:32566006
Abnormality of bone mineral density,Abnormality of bone mineralisation and ossification,HP:0004348,UMLS:C4021657
Complete duplication of the proximal phalanx of the 5th finger,Complete duplication of the innermost pinkie finger bone|Complete duplication of the innermost little finger bone|Complete duplication of the innermost pinky finger bone,HP:0009993,UMLS:C4024124
Decreased proportion of transitional B cells,Decreased proportion of CD19+CD38+IgM+ cells,HP:0030380,UMLS:C4072919
Abetalipoproteinemia,,HP:0008181,MSH:D000012|UMLS:C0000744|SNOMEDCT_US:190787008
Poor wound healing,Poor wound healing,HP:0001058,UMLS:C1851789
Skewed maternal X inactivation,,HP:0012546,UMLS:C4022856
Impaired ability to form peer relationships,,HP:0000728,UMLS:C1837649
Aortic tortuosity,,HP:0006687,UMLS:C4025003
Odontogenic keratocysts of the jaw,Keratocystic odontogenic tumour|Keratocysts of the jaw|Keratocystic odontogenic tumor,HP:0010603,UMLS:C1708604
Pectoralis hypoplasia,Hypoplastic pectoral muscle|Small pec muscle|Underdeveloped pec muscle,HP:0008998,UMLS:C1846477
Absent pulmonary artery,Missing pulmonary artery|Absent lung artery,HP:0004960,SNOMEDCT_US:86252004|UMLS:C0265905
Hypoplasia of the semicircular canal,Small semicircular canal|Hypoplasia of the semicircular canals,HP:0011382,UMLS:C3552156
Patchy sclerosis of distal phalanx of finger,Uneven increase in bone density in outermost finger bone|Patchy sclerosis of the distal phalanges of the hand,HP:0009840,UMLS:C4021384
Tracheomalacia,Floppy windpipe,HP:0002779,MSH:D055090|UMLS:C0948187|SNOMEDCT_US:95434006
Poor head control,Poor head control,HP:0002421,UMLS:C1836038
Hypoperistalsis,Intestinal hypoperistalsis,HP:0100771,UMLS:C0232475|SNOMEDCT_US:77853002|UMLS:C4020700
Short palpebral fissure,Short palpebral fissures|Short opening between the eyelids|Decreased height of palpebral fissure,HP:0012745,UMLS:C0423112|SNOMEDCT_US:246802000
Palmoplantar blistering,,HP:0007446,UMLS:C4024876
Right atrial enlargement,Dilated right atrium|Enlarged heart right atrium|Right atrial dilatation,HP:0030718,Fyler:2859|UMLS:C0748427|SNOMEDCT_US:67751000119106|Fyler:1771
Broad ulna,Wide ulna,HP:0003993,UMLS:C4025460|UMLS:C4020692
Red desaturation,,HP:0030585,UMLS:C4073058
Morphological abnormality of the anterior semicircular canal,,HP:0040108,UMLS:C4022435
Tryptophanuria,High urine tryptophan levels,HP:0003361,UMLS:C0268472|SNOMEDCT_US:18789002
Pulmonary sequestration,Cystic lung lesion,HP:0100632,MSH:D001998|UMLS:C4020703|SNOMEDCT_US:18620009|UMLS:C0006288
Supernumerary testes,Polyorchidism|Extra testes,HP:0010470,UMLS:C0266430|SNOMEDCT_US:17471001
Aplasia/Hypoplasia of the middle phalanx of the 3rd toe,Absent/small middle 3rd toe bone|Absent/underdeveloped middle 3rd toe bone,HP:0100372,UMLS:C4022119
Juvenile onset,Signs and symptoms begin before 15 years of age,HP:0003621,UMLS:C4025588
Erythroid hypoplasia,Erythroblastopenia|Erythroid hypoplasia in the bone marrow,HP:0012133,SNOMEDCT_US:167923006|SNOMEDCT_US:41614006|UMLS:C0178416|UMLS:C0542035|MSH:D000741
Aplasia/Hypoplasia of the proximal phalanx of the 2nd finger,Absent/small innermost index finger bone|Absent/underdeveloped innermost index finger bone,HP:0009580,UMLS:C4024281
Cirrhosis,Scar tissue replaces healthy tissue in the liver|Hepatic cirrhosis|Liver cirrhosis,HP:0001394,MSH:D008103|SNOMEDCT_US:19943007|UMLS:C0023890
Decreased cranial base ossification,,HP:0005451,UMLS:C1835442
Abnormality of the orbital region,Abnormality of the region around the eyes|Abnormality of the eye region|Malformation of the orbital region of the face|Deformity of the orbital region of the face|Anomaly of the orbital region of the face,HP:0000315,UMLS:C4025863
Craniofacial teratoma,,HP:0030755,UMLS:C4280784|NCIT:C3403
Malposition of the stomach,Gastric ectopia|Gastric malposition|Abnormal stomach location,HP:0100802,UMLS:C1402983
Abnormality of the nasal cavity,,HP:0010640,UMLS:C4023763
Hypoplastic-absent sebaceous glands,,HP:0007411,UMLS:C1844617
Hyperthreoninemia,Elevated circulating threonine|High blood threonine levels,HP:0003354,UMLS:C1848861
Cervical aortic arch,,HP:0011588,SNOMEDCT_US:253657003|UMLS:C0345065
Supernumerary metacarpal bones,Extra long bones of hand,HP:0005917,UMLS:C0545617|SNOMEDCT_US:91846008
Bifid scrotum,Cleft of scrotum|Scrotal cleft,HP:0000048,UMLS:C0341787|SNOMEDCT_US:236780002
Abnormal coronary artery morphology,,HP:0006704,UMLS:C0158623|SNOMEDCT_US:28574005|Fyler:3100
Keratitis,Corneal inflammation,HP:0000491,SNOMEDCT_US:5888003|UMLS:C0022568|MSH:D007634
Gastric duplication,Gastric duplication cyst,HP:0011139,UMLS:C4021201
Stomach cancer,Gastric cancer,HP:0012126,UMLS:C0699791|SNOMEDCT_US:372143007
Abnormal circulating threonine concentration,Abnormality of threonine metabolism,HP:0010900,UMLS:C4023666
Patchy sclerosis of the middle phalanx of the 2nd finger,Uneven increase in bone density in the middle bone of the index finger,HP:0009573,UMLS:C4024285
Broad uvula,Wide uvula,HP:0010809,UMLS:C3693299
Dyscalculia,Difficulty making arithmetical calculations,HP:0002442,UMLS:C4280576|UMLS:C1411876|SNOMEDCT_US:47916000
Abnormal tongue physiology,,HP:0030810,UMLS:C4280754
Diffuse palmoplantar hyperkeratosis,"Diffuse palmoplantar keratoderma|Hyperkeratosis, diffuse palmoplantar",HP:0007447,UMLS:C4021575|MSH:D015776
Dicarboxylic acidemia,,HP:0040145,UMLS:C4022416
Coronary sinus atrial septal defect,,HP:0011643,ICD-10:Q21.1|UMLS:C2063331
Cerebral venous thrombosis,Blood clot in cerebral vein|Cerebral thrombosis|Cerebral vein thrombosis,HP:0005305,SNOMEDCT_US:95455008|UMLS:C0151945
Muscular subvalvular aortic stenosis,Muscular subaortic stenosis,HP:0001691,UMLS:C3887554
Increased resting energy expenditure,,HP:0012339,UMLS:C4022948
Asthma,Asthma|Bronchial asthma|Reactive airway disease,HP:0002099,UMLS:C0004096|UMLS:C3714497|MSH:D001249|SNOMEDCT_US:991000119106|SNOMEDCT_US:195967001
Broad foot,Broad foot|Wide foot|Broad feet,HP:0001769,UMLS:C1866241
Costochondral pain,Costochondral junction pain,HP:0006649,UMLS:C4021587
Frequent falls,Frequent falls,HP:0002359,UMLS:C0850703
Triplomyelia,Triplication of spinal cord,HP:0100564,UMLS:C4022022
Small epiphysis of the middle phalanx of the 3rd finger,Small end part of the middle bone of the middle finger,HP:0009329,UMLS:C4024437
Aplasia/Hypoplasia of the corpus callosum,Agenesis/hypoplastic corpus callosum|Hypoplasia or absence of the corpus callosum|Absent/hypoplastic corpus callosum|Hypoplastic or absent corpus callosum|Complete or partial absence of the corpus callosum,HP:0007370,UMLS:C1861866
Absent epiphysis of the proximal phalanx of the 5th finger,Absent end part of the innermost bone of pinky finger|Absent end part of the innermost bone of pinkie finger|Absent end part of the innermost bone of little finger,HP:0009160,UMLS:C4024564
Irregular ossification of hand bones,Irregular maturation of hand bones,HP:0004280,UMLS:C4025374
Lethal infantile mitochondrial myopathy,,HP:0009069,UMLS:C1838876|MSH:C564017
Macular hypopigmentation,,HP:0007988,UMLS:C4024759
Impaired horizontal smooth pursuit,Impaired horizontal visual pursuit|Abnormal horizontal ocular pursuit,HP:0001151,UMLS:C1866753
Abnormal delayed hypersensitivity skin test,,HP:0002963,UMLS:C1833172
Generalized hyperreflexia,Generalised hyperreflexia,HP:0007034,UMLS:C4024949
Recurrent infantile hypoglycemia,Recurrent low blood sugar in infant|Episodic infantile hypoglycemia,HP:0004914,UMLS:C4021644
Neonatal insulin-dependent diabetes mellitus,,HP:0000857,UMLS:C3278636
Patchy sclerosis of 5th toe phalanx,Uneven increase in bone density in pinky toe bone|Uneven increase in bone density in pinkie toe bone|Uneven increase in bone density in little toe bone|Patchy sclerosis of the phalanges of the 5th toe,HP:0010388,UMLS:C4021275
Abnormal macrophage count,,HP:0030326,UMLS:C4022509
Weight loss,Loss of weight,HP:0001824,SNOMEDCT_US:89362005|MSH:D015431|UMLS:C1262477|SNOMEDCT_US:161832001|SNOMEDCT_US:262285001
Urinary urgency,Urinary urgency|Overactive bladder|Overactive bladder syndrome|Urgency frequency syndrome,HP:0000012,UMLS:C4020898|UMLS:C3544092|UMLS:C0085606|SNOMEDCT_US:75088002
Craniofacial hyperostosis,Hypertrophy of craniofacial bones|Excessive growth of craniofacial bones|Overgrowth of craniofacial bones|Enlargement of craniofacial bones|Thick craniofacial bones|Excessive bone growth of the skull and face|Hyperostosis of craniofacial bones|Increased ossification of craniofacial bones,HP:0004493,UMLS:C4280518|UMLS:C1868085|UMLS:C4280516|UMLS:C4280517
Sclerosis of the distal phalanx of the 4th toe,Increased bone density in the outermost bone of the 4th toe,HP:0100941,UMLS:C4021917
Puberty and gonadal disorders,Puberty and gonadal disorders,HP:0008373,UMLS:C4024685
Dermal translucency,Translucent skin,HP:0010648,UMLS:C1836646
