Phenotype,Network_score,z-score,P-value
"Ring corneal ulcer, bilateral",2.10213355213639,19.55493459789578,0
ruptured synovium of left hand,2.10213355213639,19.55493459789578,0
nerve injury of thorax,1.534586718956388,17.55909717354014,0
Serum fetuin-A decreased,2.115425784937766,19.130947662774165,0
spondylitis; psoriatic (manifestation),4.561262733139328,24.230133616781004,0
Subchorionic septal cyst,2.10213355213639,19.55493459789578,0
"Subluxation of distal interphalangeal joint of left little finger, initial encounter",2.10213355213639,19.55493459789578,0
"Subluxation of proximal interphalangeal joint of right little finger, subsequent encounter",3.8856404456646323,23.776807811063836,0
Suicide of friend,3.7156206346098957,24.90384672930598,0
Thrombocytosis,2.10213355213639,19.55493459789578,0
toxic; melanosis,2.595320375548856,22.241094432811366,0
Tuberculosis of adrenal glands,5.294569081069802,27.169882610613314,0
Spinal dysgenesis,2.7070672874953154,20.440352869316524,0
"Obstructed labor due to incomplete rotation of fetal head, other fetus",2.7408668236007956,21.06805492082321,0
"Oroacral Syndrome, Verloes-Koulischer Type",8.364516686807542,25.54744818200892,0
Partial traumatic metacarpophalangeal amputation of left index finger,1.4796794394615151,16.952077381118055,0
B-cell prolymphocytic leukemia in remission,3.832418207544682,24.464740960385612,0
Cells of Monocytic Lineage 80 Percent or More of Bone Marrow Leukemic Cells,4.821915368284512,23.418854903466066,0
Charcôt's arthropathy (tabetic),3.139156160981425,24.646638965494528,0
closed rib fracture of left twelfth rib,2.0075600963841036,25.34790232307608,0
contact dermatitis of back,3.2409868816655143,22.132541689826798,0
Dissection of left renal artery,1.5180330450560369,21.070488673327617,0
Disturbance of temperature regulation of newborn,4.207828729038884,25.171723231320154,0
Fibrosis of cardiac pacemaker electrode,3.8704356494848153,25.138900244028974,0
Alteration in neurological function,1.756456253602935,18.02457990048051,0
"forceps delivery; failure, affecting fetus or newborn",1.8858677151033616,21.966827527877363,0
Hereditary Myopathy with Early Respiratory Failure,2.0779836417104898,28.002688539661047,0
intracystic carcinoma of gallbladder,2.1409682521917266,21.83455900880984,0
"Laceration of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level",2.8362595662306127,22.422430731291662,0
LEBER OPTIC ATROPHY AND DYSTONIA,2.855518686208957,24.620642593268315,0
location of neoplasm of pituitary gland,2.5291863556147596,22.581277002086928,0
Malignant lymphoma - mixed lymphocytic-histiocytic,2.3618743003638607,20.831637599072113,0
"Maternal care for anti-D [Rh] antibodies, second trimester, fetus 4",5.06619011562087,25.15838255855235,0
"maternal mental disorder complicating pregnancy, childbirth,and puerperium",1.7580096182751102,18.032835345826708,0
giant cell glioblastoma of cerebral ventricle,1.4965990933930287,22.42769742279886,0
Pentoxifylline adverse reaction,3.2730822188208384,23.71961053067871,0
Allergy to trimethaphan,5.901639101411442,27.191023589090594,0
tubal pregnancy with tubal abortion without intrauterine pregnancy,4.001074367890614,24.715192637631105,0
"Pedal cycle accident involving collision between pedal cycle and non-motor road vehicle, occupant of tram injured",3.0651763205602474,24.783566567490645,0
"Poisoning by, adverse effect of and underdosing of antitussives",1.6239605303283329,16.359296501025007,0
"Puncture wound with foreign body, right hip, initial encounter",6.444217911522875,23.781347257269626,0
rubeola; rubella,1.5514376415428615,17.309613444593502,0
Urethral bulbitis,1.493166906941844,16.964259229564657,0
Fetal macrocephaly,3.5682025458933047,20.382157557044135,0
Fishing hook in pharynx,6.239487789869376,24.183961191183563,0
"Fracture of unspecified metatarsal bone(s), unspecified foot, subsequent encounter for fracture with nonunion",3.2034990621498953,19.6914704483837,0
Urine microscopy: phosphate crystals,2.953736578238329,18.63643037549003,0
immunoblastic large B-cell diffuse lymphoma of gingiva,3.726084698785215,21.464458318885498,0
Meningothelial meningioma,2.953736578238329,18.63643037549003,0
Other childhood psychoses NOS,4.750134860336225,25.981064737904475,0
"Other injury of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, subsequent encounter",4.580248092659954,25.203571757811876,0
"Other injury of intrinsic muscle, fascia and tendon of left middle finger at wrist and hand level, sequela",4.20294235088999,21.658164640634595,0
"PAN, MICROSCOPIC",4.331909752010665,24.703277040387416,0
Sclerodactyly,2.953736578238329,18.63643037549003,0
"Split-Hand With Obstructive Uropathy, Spina Bifida, And Diaphragmatic Defects",6.127453507988368,24.597717462717487,0
Triangular tibia,3.668332944865365,23.828833281501417,0
Laceration without foreign body of unspecified great toe without damage to nail,4.663187599193964,23.220830415709962,0
mixed cellularity Hodgkin's lymphoma of cerebellum,2.557804899163002,22.604311767610362,0
Penile Leiomyosarcoma,4.210062062558813,24.020992342801772,0
Pedestrian on sled injured in collision with pedal cycle in nontraffic accident,2.777969578758157,22.088461573657625,0
Aplasia Cutis Congenita,2.368853246750158,21.091793197663034,0
BACTERIAL SEPSIS ETIOLOGY UNKNOWN,4.920520993175594,26.1872400467755,0
Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm,3.44173019591759,24.350047410906715,0
Bouchard's nodes (with arthropathy),2.10213355213639,19.55493459789578,0
Car driver injured in collision with pedal cycle in nontraffic accident,3.995637591227517,22.55304564080199,0
central serous retinopathy of right eye,3.3298342002630252,20.71888583232241,0
CERVICAL CANCER IN SITU CIN III,4.608927720231991,25.486888416077118,0
"Chorioamnionitis, second trimester, fetus 1",2.1082397343432078,19.43165057925634,0
closed dislocation of metacarpophalangeal joint of ring finger of right hand,2.10213355213639,19.55493459789578,0
Congenital Disorders,4.532762189595001,23.683710159847625,0
congenital rigid cervix in gravid patient,2.10213355213639,19.55493459789578,0
contact dermatitis of right wrist,4.178066615635229,24.68040745914182,0
"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 1",4.556327647757508,26.530794076148446,0
"Crushing injury of right ankle, subsequent encounter",2.10213355213639,19.55493459789578,0
defect; cell membrane receptor complex,4.841800123705712,26.386102204656147,0
Diagnostic and monitoring anesthesiology devices associated with adverse incidents,3.4661295347752024,24.052600874046714,0
"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1",5.084918788256835,26.826117683265533,0
"Anterior subluxation of unspecified sternoclavicular joint, subsequent encounter",3.4754755153136863,23.660625677913202,0
Anaphylaxis caused by insect venom,2.6907459244733367,22.041338357098496,0
Amphotericin B overdose,2.10213355213639,19.55493459789578,0
Allergy to phenoperidine,1.918353809899992,17.931215416383388,0
Subungual hematoma of finger of left hand,2.7672545338419763,23.559721251913707,0
"Unspecified keratoconjunctivitis, left eye",5.79521222207125,24.516735151409847,0
"War operations involving combat using blunt or piercing object, military personnel, subsequent encounter",4.312744762479842,24.331463957168893,0
"DIABETES MELLITUS, INSULIN-DEPENDENT, 2",4.513892534528775,23.426919587017185,0
Displaced fracture (avulsion) of medial epicondyle of right humerus,1.8165094916094273,21.221233878499714,0
Finding of phenylalanine level,3.2750677152205023,27.948941742621802,0
gout of index finger of left hand,2.5494910442861736,24.467404573279953,0
"Laceration of intrinsic muscle, fascia and tendon of left middle finger at wrist and hand level",3.977356439197909,26.130375304379953,0
"Displaced fracture of greater tuberosity of unspecified humerus, sequela",5.290437839594135,27.545828893824478,0
"Nondisplaced fracture (avulsion) of lateral epicondyle of unspecified humerus, subsequent encounter for fracture with routine healing",1.815923627393159,21.246584389790417,0
Spondyloepimetaphyseal Dysplasia With Abnormal Dentition,1.815923627393159,21.246584389790417,0
Xipamide adverse reaction,5.853666619751503,23.054352325450747,0
Accidental rifampin overdose,2.4656361359087926,21.24751387552419,0
"Accident involving fall from road vehicle NEC, pedestrian injured",2.10213355213639,19.55493459789578,0
"Acute poliomyelitis with other paralysis, poliovirus type II",4.549262826650606,26.007660957763726,0
Acute posthemorrhagic anemia (& normocytic ),2.6290727542487415,22.218215859497604,0
allergy testing grape erythema,2.10213355213639,19.55493459789578,0
Allergy to industrial methylated spirit,2.10213355213639,19.55493459789578,0
peritoneum; hemorrhage,4.350324074269688,25.051948061900084,0
"Displaced spiral fracture of shaft of humerus, unspecified arm, initial encounter for open fracture",2.347491424340849,20.228734482767447,0
Displaced transcondylar fracture of right humerus,2.604428975247803,22.30660336564312,0
dizziness chronic,2.609489991300948,22.32601356302597,0
"Laceration without foreign body of unspecified toe(s) with damage to nail, initial encounter",6.08899216438847,26.6464290310547,0
"Langerhans' cell histiocytosis, not elsewhere classified",3.153359908814285,23.36749700873379,0
Loss of childhood developmental milestones,4.672095538347922,25.789450646404337,0
"lung; disease, cystic or polycystic, congenital",3.213813283639618,19.06781511650775,0
Microinvasive tumor,3.686986036227453,24.920209328112506,0
"Military operations involving unintentional restriction of air and airway, military personnel",2.10213355213639,19.55493459789578,0
Mood disorder with depressive features due to general medical condition,2.1049034205065986,19.54792279161611,0
"Motor vehicle traffic accident involving collision, on highway, between motor vehicle and boundary fence or guard rail, rider of animal or occupant of animal-drawn vehicle injured",2.10213355213639,19.55493459789578,0
"Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level, initial encounter",3.270360994043484,23.374002192738235,0
Neonatal extracranial head trauma,3.5813744006628334,23.79842008613525,0
Nicorandil adverse reaction,2.700357945583646,22.32393965276715,0
Open moderate laceration,2.1023406475045383,19.47382341849238,0
Orthodontic index,2.10213355213639,19.55493459789578,0
Osteomyelitis of right tibia,3.1243238714122925,23.594918686567382,0
Overlapping malignant melanoma of skin,3.0969763098879732,22.520762153102563,0
"Partial traumatic amputation of right great toe, initial encounter",1.867344001538719,19.422212165053534,0
Pedestrian in wheelchair (powered) injured in collision with two- or three-wheeled motor vehicle in traffic accident,2.10213355213639,19.55493459789578,0
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, sequela",2.10213355213639,19.55493459789578,0
Neoplasm cervix stage IV,2.9896794193408573,22.28644098416748,0
Penetrating posterior abdominal wounds,2.10213355213639,19.55493459789578,0
Joint pain in left hand,5.089834734619833,26.520041079590385,0
Intentional zolpidem overdose,4.2564433365655825,25.436861292618214,0
Drug-induced flushing,2.10213355213639,19.55493459789578,0
Drug withdrawal headache,4.161666045748443,22.997505244919452,0
esophagitis with bleeding,2.10213355213639,19.55493459789578,0
"Fall due to collision or other accident to watercraft, water skier injured",4.779732132867816,25.267056909890268,0
"Fall from baby stroller, sequela",2.10213355213639,19.55493459789578,0
Foreign body in head,2.10213355213639,19.55493459789578,0
Gastrocardiac syndrome,2.10213355213639,19.55493459789578,0
giant cell sarcoma of kidney,3.178536792266892,24.147568285278645,0
Intravitreal implant migration,3.691454324279642,25.026825531966622,0
Guanosine to Cytosine Transversion Abnormality,2.4290655725464707,21.390360687213285,0
hemorrhage; complication internal fixation,3.638349726990676,25.030027722932463,0
Heterotopic ossification of tendon,4.010611262388094,25.870435966229007,0
Hyoscine butylbromide allergy,2.10213355213639,19.55493459789578,0
Hyperacute rejection of intestine transplant,2.1022846246670044,19.554593632150574,0
"Idiopathic cysts of iris, ciliary body or anterior chamber, left eye",0.9527701104974182,15.385613663824541,0
Infection in patient with AIDS,2.258542004876459,20.467363302924205,0
"inguinal; bubo, venereal",2.10213355213639,19.55493459789578,0
"injury; nerve, foot",2.10213355213639,19.55493459789578,0
"Hb SS, Hb SC, Hb SB thal &#x7C; DBS &#x7C; Chemistry - non-challenge",2.6139422106916648,22.292836143383393,0
spelling; retardation,4.005156976853572,22.604341930633563,0
Mouse Gliomatosis Cerebri,1.8804919758195016,17.005360268788596,0
neoplasm of peripheral nerves of buttock,2.093683994930682,18.868653580886523,0
Gastric Stenosis,1.6090205865417477,26.680913620356854,0
giant cell type neoplasm of cervix,0.5082579226723286,23.2427927090083,0
"Glaucoma secondary to eye inflammation, left eye",3.0120796720198673,27.466231979303817,0
glucose homeostasis,0.5872955837166492,13.13086459469657,0
"grippal; bronchitis, influenza virus identified",0.291511759790401,9.382390076337625,0
growth on upper eyelid of left eye,4.596258308109626,23.309392529001887,0
"hay fever; catarrh, with asthma",0.6502013111778456,12.079727386552829,0
Hemangioblastic Meningioma,1.6401421292055745,25.618374182450708,0
Iatrogenic pneumothorax,2.881341620650294,25.124848518210854,0
IDH2 NP_002159.2:p.R140L,0.6060687727079422,15.760399340123081,0
immunologic disorders complicating pregnancy,2.7756238913826885,23.992220390690935,0
"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 2",1.2381679674927246,20.22967859459746,0
Injury of toe of right foot,4.669401452698545,22.80938310960754,0
Injury of ulnar nerve at wrist and hand level of left arm,3.4843985213510638,24.445756680468453,0
Intentional caffeine overdose,2.5764013033810635,25.197318189694677,0
Intestinal infection due to Vibrio cholerae O1,3.854131967039334,23.766091607263476,0
"Laceration with foreign body of unspecified great toe with damage to nail, sequela",4.36462605613811,23.030428230683388,0
ganglion of fourth metatarsophalangeal joint of left foot,1.9254977200092767,26.472158168218073,0
"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing",2.6021598004741415,21.67844659571332,0
"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type I or II",0.8390213304059864,20.06312997535047,0
"Fracture of left shoulder girdle, part unspecified, subsequent encounter for fracture with nonunion",3.8219586144943145,23.428652958266834,0
Crushing injury of vertebral region,1.6401421292055745,25.618374182450708,0
Deleterious FBXW7 Gene Mutation,1.881212899405417,22.806314311705663,0
diabetes mellitus secondary with hyperglycemia,1.6401421292055745,25.618374182450708,0
diabetes with diabetic peripheral angiopathy without gangrene,1.7307709322114149,23.971784035395906,0
"Dislocation of unspecified parts of right shoulder girdle, sequela",0.5861220902078244,25.120274555896824,0
"Displaced comminuted fracture of shaft of humerus, unspecified arm",1.9176760809029763,26.12100572972521,0
"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with nonunion",2.513088321356774,24.29324121847553,0
"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with nonunion",2.5768042790841417,28.1551449524497,0
"Legal intervention involving injury by explosive shell, bystander injured, subsequent encounter",0.5596152673980972,23.230424258145266,0
"Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion",4.308781665103314,25.10363015327802,0
"Displaced segmental fracture of shaft of humerus, left arm, initial encounter for closed fracture",1.1768210001362063,22.792368137768374,0
Drug-induced anetoderma,3.2415069079068313,23.721172585601845,0
EDEMA EXTENSIVE,4.395040337486355,23.150387991281203,0
EDEMA NEW ONSET,1.3893430813394039,18.76020103583646,0
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 54",0.8274312450274218,18.374458227778657,0
Fetal Hypoxia,2.7306357471601705,23.9142853923815,0
first-degree perineal laceration during delivery involving labia,1.9592527899301275,23.192167958606912,0
Focal suppurative nephritis,1.1687442734263442,22.39655716278654,0
"Displaced other extraarticular fracture of right calcaneus, subsequent encounter for fracture with malunion",2.9109261066082195,25.131809163461966,0
"Legal intervention involving injury by tear gas, law enforcement official injured, initial encounter",1.6133638539381348,21.01796320233193,0
Littoral cell angioma of the spleen,4.964071361154995,26.396605350008254,0
"lung; disease, obstructive, with alveolitis, allergic",3.0711490601008813,27.026882298199922,0
"Nondisplaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion",0.8274312450274218,18.374458227778657,0
n.recurrens; lesion,1.3221810546494244,28.890030417550957,0
Obstructed labor due to persistent occipitoposterior (position),0.8170609968616902,28.249394228547708,0
Oesophageal squamous cell carcinoma upper third stage III,0.8390213304059864,20.06312997535047,0
open fracture of L2 vertebral body with spinal cord injury,2.74909694039565,27.205167292436123,0
open fracture of multiple metacarpal bones of left hand,0.5749762161189437,22.871588157412923,0
opiate antagonist poisoning with undetermined intent,2.292919368869935,25.27075385172289,0
"Other disorders of optic nerve, not elsewhere classified, unspecified eye",0.897882737459633,15.438834552605114,0
"Nondisplaced fracture of third metatarsal bone, left foot, initial encounter for open fracture",2.7364133924599727,27.081548546292453,0
"Other displaced fracture of upper end of left humerus, initial encounter for open fracture",3.4947873023259133,25.32844429005538,0
Other enthesopathy of unspecified foot and ankle,2.219317665015504,23.363353986292537,0
"Other instability, right hip",2.3609744879330927,22.131035058221382,0
"Other myositis, unspecified lower leg",5.5185348670878565,24.76539087687102,0
"Other specified injury of extensor muscle, fascia and tendon of unspecified thumb at wrist and hand level, sequela",3.8630782863502424,24.542488939881554,0
"Other specified injury of other specified muscles and tendons at ankle and foot level, unspecified foot, subsequent encounter",2.514572639842062,23.279656663770176,0
Other specified retinal disorders,0.5861220902078244,25.120274555896824,0
(Other venereal/spirochaete disease) or (Reiter's syndrome),4.410447838063778,22.30458963124106,0
pain; nasopharynx,0.8390213304059864,20.06312997535047,0
"Other displaced fracture of upper end of unspecified humerus, subsequent encounter for fracture with malunion",2.454422797223157,22.29811425784555,0
"Crushing injury of unspecified part(s) of left wrist, hand and fingers, sequela",3.6513588984959564,27.14302574103529,0
"Nondisplaced fracture of middle phalanx of unspecified finger, initial encounter for open fracture",0.9299148311744279,16.577686162308126,0
nodular sclerosing Hodgkin's lymphoma of intrahepatic bile duct,1.4993667538324091,22.10974192956648,0
lymphoplasmacytic lymphoma of cerebral ventricle,3.2415069079068313,23.721172585601845,0
"Macular keratitis, left eye",1.6078377520307732,26.76208605596111,0
malignant solitary fibrous tumor of penis,3.8390045292286707,23.41629817884607,0
"Maternal care for hydrops fetalis, first trimester, fetus 5",1.1234495177738713,24.756212397743422,0
"Maternal care for malpresentation of fetus, unspecified, other fetus",3.8385882873487636,23.333851313782937,0
meningitis; lymphocytic (manifestation),0.5532933562004982,23.181090691015072,0
Mild mood disorder,2.8230067521949427,25.92437212450071,0
"Military operations involving other explosions and fragments, military personnel, subsequent encounter",1.6078377520307732,26.76208605596111,0
"Noncollision motor vehicle traffic accident involving fall from motor vehicle while in motion, other specified person injured",3.2415069079068313,23.721172585601845,0
Mitral sub-valve apparatus calcification,1.8946033699148095,28.109493248471356,0
Motor vehicle on road in collision with object other than vehicle,1.3732295041566007,18.77955398432479,0
"Motor vehicle traffic accident involving collision between motor vehicle and animal carrying a person, motor cyclist injured",3.662255476914696,25.396065103736237,0
Mucolytics allergy,2.618445308513437,24.722635470832365,0
Mucopolysaccharidosis VII,1.9518624837026772,22.89760020880259,0
"Myositis ossificans traumatica, right lower leg",2.564763328774493,21.70489204169367,0
Neonatal hypoxemia,2.0716643998687947,21.34620808902476,0
neoplasm/cancer remission/regression,5.973812588599818,27.914644058520302,0
neoplasm of peripheral nerves of heel,3.0622118458896828,20.0076902636395,0
"Motor vehicle nontraffic accident involving collision, not on public highway, between motor vehicle, except off-road motor vehicle, and pedestrian, other specified person injured",1.9150731510474488,26.05561531355062,0
"Myelitis, Acute Transverse",2.270981369956012,20.325739587587716,0
"Crushing injury of right thumb, subsequent encounter",1.8277407393219982,25.5034912867304,0
"Crushing injury of other finger, initial encounter",4.082139483715887,25.650483396401427,0
coxsackievirus; central nervous system,4.189160435229041,23.687438719141408,0
Dacarbazine overdose,4.70866298014441,24.78648232700181,0
"Displaced fracture of distal phalanx of right little finger, initial encounter for closed fracture",5.723408565030106,24.829834646689456,0
Excessive hemorrhage due to and following ectopic pregnancy,3.096446363213664,25.156035831848477,0
Exophthalmos of right eye,2.328076202540511,22.418286585609714,0
fetal thrombocytopenia as antepartum condition,5.72012150599298,24.824051593605933,0
"Flail joint, left elbow",4.464521853404055,24.497261299440467,0
"Foreign body granuloma of soft tissue, not elsewhere classified, right shoulder",4.2588596694179826,25.996837189195993,0
"Idiopathic chronic gout, left hand, with tophus (tophi)",4.193913915700462,23.65968837320998,0
Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,5.72012150599298,24.824051593605933,0
Major depression in partial remission,4.195903944370739,23.726284826290826,0
"Mature T/NK-cell lymphomas, unspecified, unspecified site",6.008300353982563,25.159407065866162,0
Meprobamate adverse reaction,1.1905717693625177,19.064032535360255,0
neoplasm of radial artery of wrist,5.673599442851546,24.533539320548524,0
optic nerve hypoplasia of right eye,1.0618382879907986,14.739523709643128,0
Phonological dysgraphia,5.72012150599298,24.824051593605933,0
Pleuritic pain,2.3312373725079043,22.37146945254182,0
Bundle-Branch Block,5.037043545643385,25.1811542328698,0
Benign neoplasm of unspecified epididymis,4.520989191764736,23.958267326127284,0
ASPH Positive,2.3249197045128787,22.597475010844637,0
"Apraxia, Verbal",4.184687847699254,23.694284058176528,0
open comminuted oblique intertrochanteric fracture of left femur (Evans I),2.902324704541936,22.745096063821894,0
pregnancy complicated by chronic secondary hypertension,1.756456253602935,18.02457990048051,0
"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor",2.860519759428518,24.632978234609723,0
Sequential Learning,4.027460481050075,25.323688239571513,0
sibling rivalry; exceptionally,1.826384188739369,17.019121853805537,0
thrombophlebitis of dorsal surface of femoropopliteal vein,5.475518834965328,24.32593697956687,0
Traumatic rupture of unspecified ligament of left ring finger at metacarpophalangeal and interphalangeal joint,4.747695504126959,24.029850070534224,0
bone neoplasm of semilunar cartilage,4.520723174085535,25.113934094710228,0
Post-op. problems,1.7009303464068253,21.669125108917996,0
Dysphotopsia,2.5739624503537115,21.41347288575938,0
Military operations involving direct blast effect of nuclear weapon,3.6459046120300393,24.222501271878162,0
Rudiger Syndrome,3.1380048591194574,21.28954413879542,0
serum culture influenza virus type A H1N1,3.291957218465193,23.804522403435264,0
Transient visual loss of left eye,3.913219781104026,24.314793722636818,0
"Unspecified occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident, sequela",2.317264906983854,18.39879027757663,0
accidental poisoning by posterior pituitary hormones,2.208149020141192,19.82889212807317,0
allergy testing grapefruit erythema,4.520989191764736,23.958267326127284,0
Alpha-1-antitrypsin phenotype PiSZ,5.143750061493011,25.01262085378016,0
lacrimal calculus of both eyes,3.515655915508805,23.260610795146288,0
"respiratory; disorder, maternal, affecting fetus",5.534479250160538,24.472415915577763,0
"War operations involving fragments of improvised explosive device [IED], military personnel, subsequent encounter",1.8125535885973252,19.07704014433131,0
"Abscess of tendon sheath, right ankle and foot",1.4242401248319976,22.01503639625454,0
Blood concentration results,0.8851452022709637,18.1542219482966,0
bone neoplasm of costovertebral joint of ninth rib,2.041201174604517,27.06028196105819,0
Bone spur of right shoulder,1.3940359574413834,18.529365021203525,0
cardiomyopathy of anterior wall,1.3734608176189043,18.782487900471175,0
Cardiovascular insufficiency,1.4707113451284977,23.75588858949132,0
"central retinal vein occlusion, stable of both eyes",2.939018187409707,25.0702147084447,0
Childhood emotional disorder,1.9630918407211944,22.010915757323655,0
CHLORPHINE ALLERGY,2.502909229702524,25.496235467417705,0
Birth Control Related Concern,1.0943081270101498,18.22355254149555,0
Chondrodystrophy malacia,0.8390213304059864,20.06312997535047,0
"Chronic gout due to renal impairment, unspecified site, without tophus (tophi)",1.3917934113476966,26.922899566397398,0
closed partial fracture of posterior wall of right acetabulum (Letournel A-I),0.5532933562004982,23.181090691015072,0
Clostridium; cellulitis,1.9756861973818662,24.36941587607197,0
Complicated infection,2.0609921013329786,26.62709828303617,0
Congenital onychoatrophy,1.4589692190258259,16.65369053693229,0
contusion with intact skin of left hip,5.171616282190117,26.679992624382365,0
corrosion; cervix,2.5921819071600605,23.143428865862404,0
"c.puerperium; hypertension, pre-existing, essential, with superimposed proteinuria",1.674521905411299,24.262279025064743,0
"Chromosomal alteration, fifteenth pair",3.22592088102821,24.20147811633992,0
"Crushing injury of right thumb, initial encounter",3.514302703643904,22.086168614064373,0
"Bipolar affective disorder, currently depressed, in partial or unspecified remission",1.78922210485688,21.13185834496632,0
Benign neoplasm of right lacrimal gland,1.0674930095883612,24.844779531633357,0
Accidental cimetidine overdose,1.8961953269499823,20.978115849086482,0
Accidental ibuprofen overdose,1.6099643269817914,26.756024875407366,0
"Acquired atrophy of fallopian tube, unspecified side",4.632088439300649,23.485150472639553,0
"Acrodysplasia with ossification abnormalities, short stature, and fibular hypoplasia",0.2676121663389939,15.2559564289249,0
Adverse reaction to anti-infective substance,1.6013444537968333,24.58786243990855,0
Alcoholic fibrosis and sclerosis of liver,2.4143722198072193,27.409046304349452,0
Allergy to loprazolam,3.1318432280053106,23.79904999233084,0
Allergy to procarbazine,1.1414411927932118,21.12981014443902,0
Benign neoplasm of skin of left upper limb,3.821161570848952,23.425000212131206,0
Allergy to pyrantel,0.6260098528008239,16.042917102448705,0
Antiphospholipid Syndrome,4.0099369732381795,26.288809815078714,0
Arrested hydrocephalus,2.4911666125771963,26.85144555575028,0
Asiderotic anemia,3.6291916090686027,25.948950099573132,0
Atrial tachycardia,2.9308502649369683,25.96304432498963,0
Autoimmune blistering disease,1.868605556243019,26.071252325180463,0
Autoimmune nephritis,3.319503502260234,22.091060112321898,0
Avulsion of vein - injury,3.2415069079068313,23.721172585601845,0
Benign neoplasm of left lacrimal gland and duct,1.167328191021078,23.909199789052536,0
Anterior segment mesenchymal dysgenesis,4.505861441621807,22.232701054943725,0
"Poisoning by expectorants, intentional self-harm, sequela",2.2695029475812607,21.199753494083925,0
"Nontraffic accident involving injury from moving part of motor vehicle while boarding or alighting from motor vehicle, except off-road vehicle, not on highway, passenger of motor vehicle injured",4.5566171846471155,23.93695767197907,0
Mucoepidermoid Tumor,4.006189916193052,22.609407431278715,0
Penile Angiosarcoma,6.241366238517737,24.703944662658685,0
Penile squamous cell carcinoma stage IV,3.441445045272674,22.211019133441575,0
"Peripheral corneal degeneration, unspecified eye",5.243978505716185,24.949243814691343,0
Peritoneal mouse,6.704469102537013,24.05821793582558,0
phlebitis of right tibial vein,6.513063151842391,25.098187658762495,0
Phoneme-grapheme conversion deficit,1.1085656938953212,20.67321148922171,0
Pleasant,4.673315481243747,24.055708097098638,0
"pN0(i-): No regional lymph node metastasis histologically, negative IHC (breast)",4.765947248768392,23.925371245520918,0
Pneumonia due to Mannheimia haemolytica,3.2076220387016887,22.038444485049194,0
